city,state,state_name,county,lat,lng,population,density,timezone,zips
"Beaumont","TX","Texas","Jefferson","30.0849","-94.1451","146554","534.5","America/Chicago","77708,77705,77706,77707,77701,77702,77703,77713,77704,77710,77720,77725,77726"
"Elkhart","IN","Indiana","Elkhart","41.6916","-85.9627","146511","737.8","America/Indiana/Indianapolis","46514,46517,46516,46515"
"Lake Charles","LA","Louisiana","Calcasieu","30.201","-93.2111","145110","664.4","America/Chicago","70605,70607,70601,70609,70615,70629,70602,70606,70612,70616"
"Santa Maria","CA","California","Santa Barbara","34.9333","-120.4431","144857","1859.9","America/Los_Angeles","93454,93455,93458"
"Yuma","AZ","Arizona","Yuma","32.5995","-114.5491","144509","314","America/Phoenix","85365,85364,85369"
"Olathe","KS","Kansas","Johnson","38.8833","-94.82","143720","861.5","America/Chicago","66062,66061,66051,66063"
"Midland","TX","Texas","Midland","32.0243","-102.1147","143714","679.3","America/Chicago","79701,79706,79707,79705,79703,79702,79708,79711"
"Greeley","CO","Colorado","Weld","40.4152","-104.7706","143554","842.6","America/Denver","80631,80634,80632,80633,80638,80639"
"Torrance","CA","California","Los Angeles","33.8346","-118.3416","143499","2700.6","America/Los_Angeles","90277,90501,90503,90505,90504,90507,90508,90509,90510"
"Thornton","CO","Colorado","Adams","39.9197","-104.9438","142878","1510.4","America/Denver","80260,80233,80241,80640,80023,80229,80602,80614"
"Las Cruces","NM","New Mexico","Doña Ana","32.3265","-106.7893","142432","565.2","America/Denver","88012,88011,88005,88007,88001,87654,88006,88013"
"Columbia","MO","Missouri","Boone","38.9472","-92.3268","141811","727","America/Chicago","65202,65203,65201,65215,65216,65211,65217,65218,65299"
"Fullerton","CA","California","Orange","33.8841","-117.9279","141278","2433","America/Los_Angeles","92835,92833,92832,92831,92834,92836,92837,92838"
"Grand Junction","CO","Colorado","Mesa","39.0877","-108.5673","141008","635","America/Denver","81503,81506,81507,81505,81504,81501,81502"
"Carolina","PR","Puerto Rico","Carolina","18.4054","-65.9792","139051","2592.1","America/Puerto_Rico","00979,00987,00982,00983,00985,00981,00984,00986,00988"
"Metairie","LA","Louisiana","Jefferson","29.9977","-90.178","138995","2317.3","America/Chicago","70002,70003,70001,70006,70005,70004,70009,70010,70011,70033,70055"
"Orange","CA","California","Orange","33.8038","-117.8218","138723","2086.8","America/Los_Angeles","92868,92869,92866,92867,92865,92856,92857,92863,92864"
"Warren","MI","Michigan","Macomb","42.4934","-83.027","138128","1551.4","America/Detroit","48092,48093,48091,48089,48088,48397"
